Name,Flight Code,Departure City,Departure Time,Arrival City,Arrival Time,Duration,Price
"Air France, Turkish Airlines","AF 1359, AF 1748",Rabat,06:50,Jeddah,"00:55
+ 2 DAY",39 h 05 m,"64,274"
"Air France, Turkish Airlines","AF 1359, AF 1748",Rabat,06:50,Jeddah,"05:10
+ 2 DAY",43 h 20 m,"64,274"
"Air France, Royal Air Maroc, Saudia","AF 1359, AF 1748",Rabat,06:50,Jeddah,"17:00
+ 2 DAY",55 h 10 m,"66,892"
"Air France, Royal Air Maroc, Saudia","AF 1359, AF 1746",Rabat,06:50,Jeddah,"17:00
+ 2 DAY",55 h 10 m,"67,012"
,,,,,,,
,,,,,,,
"Air France, Turkish Airlines","AF 1259, AF 1748",Rabat,14:10,Jeddah,"00:55
+ 2 DAY",31 h 45 m,"67,425"
"Air France, Turkish Airlines","AF 1259, AF 1748",Rabat,14:10,Jeddah,"05:10
+ 2 DAY",36 h,"67,425"
"Air France, Turkish Airlines","AF 1259, AF 1748",Rabat,14:10,Jeddah,"05:10
+ 2 DAY",36 h,"67,425"
,,,,,,,
"Air France, Turkish Airlines","AF 1259, AF 1746",Rabat,14:10,Jeddah,"05:10
+ 2 DAY",36 h,"67,545"
,,,,,,,
"Air France, Air Europa, Saudia","AF 1359, AF 1748",Rabat,06:50,Jeddah,"23:15
+ 2 DAY",61 h 25 m,"68,468"
"Air France, Air Europa, Saudia","AF 1359, AF 1746",Rabat,06:50,Jeddah,"23:15
+ 2 DAY",61 h 25 m,"68,588"
"Air France, Royal Air Maroc, Saudia","AF 1259, AF 1748",Rabat,14:10,Jeddah,"17:00
+ 2 DAY",47 h 50 m,"70,043"
"Air France, Royal Air Maroc, Saudia","AF 1259, AF 1746",Rabat,14:10,Jeddah,"17:00
+ 2 DAY",47 h 50 m,"70,163"
,,,,,,,
,,,,,,,
"Air France, Air Europa, Saudia","AF 1259, AF 1748",Rabat,14:10,Jeddah,"23:15
+ 2 DAY",54 h 05 m,"71,619"
"Air France, Air Europa, Saudia","AF 1259, AF 1746",Rabat,14:10,Jeddah,"23:15
+ 2 DAY",54 h 05 m,"71,739"
"Royal Air Maroc, Qatar Airways","AT 780, QR 40",Rabat,08:10,Jeddah,"03:40
+ 1 DAY",16 h 30 m,"73,912"
"Royal Air Maroc, Qatar Airways","AT 780, QR 40",Rabat,08:10,Jeddah,"10:00
+ 1 DAY",22 h 50 m,"73,912"
"Royal Air Maroc, Qatar Airways","AT 780, QR 40",Rabat,08:10,Jeddah,"18:00
+ 1 DAY",30 h 50 m,"75,631"
,,,,,,,
Air France,"AF 1359, AF 6674",Rabat,06:50,Jeddah,22:55,13 h 05 m,"79,696"
"Air France, Saudia","AF 1259, AF 568",Rabat,14:10,Jeddah,"05:55
+ 1 DAY",12 h 45 m,"81,652"
"Air France, Saudia","AF 1259, AF 568",Rabat,14:10,Jeddah,"08:15
+ 1 DAY",15 h 05 m,"81,652"
"Air France, Saudia","AF 1359, AF 568",Rabat,06:50,Jeddah,"05:55
+ 1 DAY",20 h 05 m,"81,652"
"Air France, Saudia","AF 1259, AF 568",Rabat,14:10,Jeddah,"14:55
+ 1 DAY",21 h 45 m,"81,652"
,,,,,,,
"Air France, Saudia","AF 1359, AF 568",Rabat,06:50,Jeddah,"08:15
+ 1 DAY",22 h 25 m,"81,652"
"Air France, Saudia","AF 1259, AF 568",Rabat,14:10,Jeddah,"17:25
+ 1 DAY",24 h 15 m,"81,652"
"Air France, Saudia","AF 1259, AF 568",Rabat,14:10,Jeddah,"18:25
+ 1 DAY",25 h 15 m,"81,652"
"Air France, Saudia","AF 1259, AF 568",Rabat,14:10,Jeddah,"20:05
+ 1 DAY",26 h 55 m,"81,652"
"Air France, Saudia","AF 1359, AF 568",Rabat,06:50,Jeddah,"14:55
+ 1 DAY",29 h 05 m,"81,652"
,,,,,,,
"Air France, Saudia","AF 1259, AF 568",Rabat,14:10,Jeddah,"23:05
+ 1 DAY",29 h 55 m,"81,652"
"Royal Air Maroc, Qatar Airways","AT 830, QR 194",Rabat,07:35,Jeddah,"03:40
+ 1 DAY",17 h 05 m,"88,314"
"Royal Air Maroc, Qatar Airways","AT 780, QR 38",Rabat,08:10,Jeddah,"18:00
+ 1 DAY",30 h 50 m,"92,014"
Air France,"AF 1259, AF 638",Rabat,14:10,Jeddah,"11:30
+ 1 DAY",18 h 20 m,"97,663"
Air France,"AF 1359, AF 638",Rabat,06:50,Jeddah,"11:30
+ 1 DAY",25 h 40 m,"97,663"
,,,,,,,
,,,,,,,
"Air France, Saudia","AF 1259, AF 638",Rabat,14:10,Jeddah,"11:30
+ 1 DAY",18 h 20 m,"1,11,054"
"Air France, Saudia","AF 1359, AF 638",Rabat,06:50,Jeddah,"11:30
+ 1 DAY",25 h 40 m,"1,11,054"
"Air France, Saudia","AF 1359, AF 662",Rabat,06:50,Jeddah,"06:50
+ 1 DAY",21 h,"1,16,076"
"Air France, Saudia","AF 1359, AF 662",Rabat,06:50,Jeddah,"08:30
+ 1 DAY",22 h 40 m,"1,16,076"
,,,,,,,
"Air France, Saudia","AF 1359, AF 662",Rabat,06:50,Jeddah,"13:40
+ 1 DAY",27 h 50 m,"1,16,076"
"Air France, Saudia","AF 1359, AF 658",Rabat,06:50,Jeddah,"13:40
+ 1 DAY",27 h 50 m,"1,17,068"
"Air France, Saudia","AF 1259, AF 658",Rabat,14:10,Jeddah,"13:40
+ 1 DAY",20 h 30 m,"1,34,027"
"Air France, Saudia","AF 1259, AF 658",Rabat,14:10,Jeddah,"16:55
+ 1 DAY",23 h 45 m,"1,34,027"
