,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
KLM Royal Dutch,"KL 1602, KL 695",Rome - Fiumicino Apt,12:45,Toronto,19:15,12 h 30 m,"1,28,769"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Air France,"AF 1205, AF 356",Rome - Fiumicino Apt,10:10,Toronto,16:45,12 h 35 m,"1,28,997"
Delta Air Lines,"DL 8501, DL 265",Rome - Fiumicino Apt,10:10,Toronto,22:56,18 h 46 m,"1,29,029"
Lufthansa,"LH 233, LH 6780",Rome - Fiumicino Apt,13:40,Toronto,19:55,12 h 15 m,"1,29,044"
Lufthansa,"LH 231, LH 470",Rome - Fiumicino Apt,10:00,Toronto,16:20,12 h 20 m,"1,29,044"
,,,,,,,
Delta Air Lines,"DL 8501, DL 8745",Rome - Fiumicino Apt,10:10,Toronto,22:56,18 h 46 m,"1,29,457"
Swiss,"LX 1727, LX 86",Rome - Fiumicino Apt,09:40,Toronto,17:56,14 h 16 m,"1,30,023"
"Lufthansa, Air Canada","LH 1867, LH 474",Rome - Fiumicino Apt,13:15,Toronto,"08:56
+ 1 DAY",25 h 41 m,"1,30,094"
"Air France, Delta Air Lines","AF 3579, DL 2640",Rome - Fiumicino Apt,13:50,Toronto,23:55,16 h 05 m,"1,30,889"
KLM Royal Dutch,"KL 6088, KL 5802",Rome - Fiumicino Apt,12:35,Toronto,22:56,16 h 21 m,"1,30,889"
,,,,,,,
Air France,"AF 3556, AF 2817",Rome - Fiumicino Apt,12:35,Toronto,22:56,16 h 21 m,"1,30,889"
"KLM Royal Dutch, Delta Air Lines","KL 6088, DL 4825",Rome - Fiumicino Apt,12:35,Toronto,23:32,16 h 57 m,"1,30,889"
,,,,,,,
"KLM Royal Dutch, Delta Air Lines","KL 6078, DL 4820",Rome - Fiumicino Apt,10:40,Toronto,21:39,16 h 59 m,"1,30,889"
Air France,"AF 3558, AF 2817",Rome - Fiumicino Apt,10:40,Toronto,22:56,18 h 16 m,"1,30,889"
,,,,,,,
KLM Royal Dutch,"KL 6078, KL 5802",Rome - Fiumicino Apt,10:40,Toronto,22:56,18 h 16 m,"1,30,889"
"Air France, Delta Air Lines","AF 3558, DL 4825",Rome - Fiumicino Apt,10:40,Toronto,23:32,18 h 52 m,"1,30,889"
,,,,,,,
Lufthansa,"LH 1873, LH 111",Rome - Fiumicino Apt,08:05,Toronto,19:55,17 h 50 m,"1,31,268"
"KLM Royal Dutch, Delta Air Lines","KL 1596, KL 641",Rome - Fiumicino Apt,06:10,Toronto,22:56,22 h 46 m,"1,31,332"
,,,,,,,
Lufthansa,"LH 1871, LH 93",Rome - Fiumicino Apt,19:45,Toronto,"13:25
+ 1 DAY",23 h 40 m,"1,31,952"
,,,,,,,
"ITA Airways, Lufthansa","AZ 2010, LH 6758",Rome - Fiumicino Apt,07:00,Toronto,18:36,17 h 36 m,"1,32,604"
United Airlines,"UA 8886, UA 952",Rome - Fiumicino Apt,08:05,Toronto,18:42,16 h 37 m,"1,33,342"
Air France,"AF 1405, AF 356",Rome - Fiumicino Apt,20:45,Toronto,"16:45
+ 1 DAY",26 h,"1,33,492"
,,,,,,,
United Airlines,"UA 41, UA 3557",Rome - Fiumicino Apt,09:55,Toronto,17:55,14 h,"1,33,792"
Austrian Airlines,"OS 502, OS 211",Rome - Fiumicino Apt,10:15,Toronto,19:55,15 h 40 m,"1,34,758"
