Airline,Source,Destination,Duration,stops,class,depature time,arrival time,Price,Date
TUI Fly Belgium,CMN,PAR,3h 30m,direct,economy,07:15,10:45,AED 242,2023-12-09
Transavia France,CMN,PAR,3h 15m,direct,economy,19:25,22:40,AED 588,2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,18:30,21:25,AED 686,2023-12-09
Royal Air Maroc,CMN,PAR,3h 00m,direct,economy,13:25,16:25,AED 704,2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,16:15,19:10,AED 977,2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,14:00,16:55,AED 996,2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,08:10,11:05,"AED 1,015",2023-12-09
TAP Portugal,CMN,PAR,6h 10m,1 stop,economy,16:50,23:00,AED 825,2023-12-09
TAP Portugal,CMN,PAR,7h 25m,1 stop,economy,12:20,19:45,AED 826,2023-12-09
Air France,CMN,PAR,3h 15m,direct,economy,19:15,22:30,"AED 1,152",2023-12-09
Air France,CMN,PAR,3h 10m,direct,economy,11:20,14:30,"AED 1,152",2023-12-09
Air France,CMN,PAR,3h 15m,direct,economy,16:35,19:50,"AED 1,152",2023-12-09
Air France,CMN,PAR,3h 15m,direct,economy,08:10,11:25,"AED 1,152",2023-12-09
TAP Portugal,CMN,PAR,9h 20m,1 stop,economy,12:20,21:40,AED 828,2023-12-09
ITA Airways,CMN,PAR,10h 40m,1 stop,economy,13:00,23:40,AED 766,2023-12-09
Royal Air Maroc,CMN,ROM,3h 10m,direct,economy,13:00,16:10,AED 543,2023-12-09
ITA Airways,CMN,ROM,3h 10m,direct,economy,13:00,16:10,AED 941,2023-12-09
TAP Portugal,CMN,ROM,6h 25m,1 stop,economy,12:20,18:45,AED 840,2023-12-09
Air France,CMN,ROM,6h 30m,1 stop,economy,08:10,14:40,AED 770,2023-12-09
TAP Portugal,CMN,ROM,7h 15m,1 stop,economy,16:50,00:05+1,AED 661,2023-12-09
Air France,CMN,ROM,6h 20m,1 stop,economy,11:20,17:40,AED 970,2023-12-09
Lufthansa,CMN,ROM,8h 20m,1 stop,economy,14:20,22:40,"AED 1,186",2023-12-09
Iberia,CMN,ROM,8h 00m,1 stop,economy,16:05,00:05+1,"AED 1,434",2023-12-09
Air France,CMN,ROM,9h 30m,1 stop,economy,08:10,17:40,AED 810,2023-12-09
Lufthansa,CMN,ROM,8h 20m,2 stops,economy,14:20,22:40,"AED 1,380",2023-12-09
Pegasus Airlines,CMN,ROM,10h 15m,1 stop,economy,01:10,11:25,"AED 1,006",2023-12-09
TAP Portugal,CMN,ROM,11h 45m,1 stop,economy,12:20,00:05+1,AED 740,2023-12-09
Air France,CMN,ROM,11h 25m,1 stop,economy,11:20,22:45,AED 970,2023-12-09
Iberia,CMN,ROM,10h 30m,1 stop,economy,13:35,00:05+1,"AED 1,537",2023-12-09
Iberia,CMN,ROM,10h 05m,2 stops,economy,09:35,19:40,"AED 2,111",2023-12-09
Air Arabia Maroc,CMN,IST,4h 40m,direct,economy,16:50,23:30,AED 669,2023-12-09
Royal Air Maroc,CMN,IST,4h 50m,direct,economy,09:50,16:40,"AED 1,086",2023-12-09
Turkish Airlines,CMN,IST,4h 35m,direct,economy,17:10,23:45,"AED 1,257",2023-12-09
Pegasus Airlines,CMN,IST,4h 45m,direct,economy,01:10,07:55,AED 937,2023-12-09
Royal Air Maroc,CMN,IST,4h 35m,direct,economy,17:10,23:45,"AED 2,120",2023-12-09
Turkish Airlines,CMN,IST,4h 50m,direct,economy,09:50,16:40,"AED 2,205",2023-12-09
Egypt Air,CMN,IST,11h 55m,1 stop,economy,23:05,13:00+1,"AED 2,127",2023-12-09
Egypt Air,CMN,IST,11h 15m,1 stop,economy,13:35,02:50+1,"AED 2,882",2023-12-09
Transavia France,CMN,IST,14h 35m,1 stop,economy,19:25,12:00+1,"AED 1,415",2023-12-09
Qatar Airways,CMN,IST,13h 00m,1 stop,economy,16:00,07:00+1,"AED 2,410",2023-12-09
Tunisair,CMN,IST,18h 00m,1 stop,economy,02:35,22:35,"AED 1,213",2023-12-09
Egypt Air,CMN,IST,16h 45m,1 stop,economy,23:05,17:50+1,"AED 2,078",2023-12-09
KLM,CMN,IST,13h 45m,2 stops,economy,08:10,23:55,"AED 3,371",2023-12-09
Tunisair,CMN,IST,18h 10m,1 stop,economy,02:35,22:45,"AED 1,896",2023-12-09
Qatar Airways,CMN,IST,18h 05m,1 stop,economy,16:00,12:05+1,"AED 2,350",2023-12-09
TUI Fly Belgium,PAR,CMN,3h 30m,direct,economy,18:50,22:20,AED 505,2023-12-09
