Airline,Duration,stops,class,depature time,arrival time,Price,Season,Source_CMN,Source_IST,Source_PAR,Source_ROM,Destination_CMN,Destination_IST,Destination_PAR,Destination_ROM
19,570.0,2,1,0,3,2156.7,0,0,0,0,1,1,0,0,0
24,350.0,1,0,4,0,8097.18,1,0,1,0,0,0,0,1,0
19,505.0,1,1,2,3,3194.1,2,0,1,0,0,1,0,0,0
4,525.0,1,1,0,5,1719.9,3,0,0,0,1,1,0,0,0
19,505.0,1,0,2,3,5733.0,2,0,1,0,0,1,0,0,0
19,360.0,1,0,1,0,6407.31,2,0,0,1,0,0,1,0,0
32,510.0,1,1,1,0,2377.83,3,0,0,0,1,1,0,0,0
9,470.0,1,1,0,5,1446.9,0,0,1,0,0,0,0,1,0
19,360.0,1,0,2,5,8244.6,2,0,1,0,0,0,0,1,0
28,570.0,1,0,3,0,6388.2,2,1,0,0,0,0,0,0,1
21,185.0,0,0,2,2,7772.31,1,0,0,1,0,1,0,0,0
23,385.0,1,1,0,2,2293.2,3,1,0,0,0,0,0,0,1
4,475.0,1,1,4,2,4040.4,0,1,0,0,0,0,0,0,1
6,305.0,1,0,0,2,2809.17,1,0,1,0,0,0,0,1,0
6,320.0,1,0,1,4,3043.95,2,0,1,0,0,0,0,1,0
15,205.0,1,1,1,4,1250.34,3,0,0,0,1,0,0,1,0
19,335.0,1,1,2,3,1774.5,2,0,0,1,0,1,0,0,0
21,520.0,1,1,4,0,2508.87,3,1,0,0,0,0,0,0,1
19,425.0,1,0,3,4,10264.8,2,1,0,0,0,0,0,0,1
7,210.0,0,1,2,5,2265.9,1,0,0,1,0,0,1,0,0
21,300.0,0,1,0,0,5615.61,1,0,1,0,0,1,0,0,0
21,185.0,0,1,4,4,2132.13,1,0,0,1,0,1,0,0,0
29,210.0,0,0,2,3,8681.4,0,0,0,1,0,0,1,0,0
16,335.0,1,0,0,2,4365.27,1,0,0,1,0,1,0,0,0
21,185.0,0,1,2,5,3120.39,3,0,0,1,0,1,0,0,0
19,570.0,2,1,0,3,2727.27,1,0,0,0,1,1,0,0,0
