Airline,Source,Destination,Duration,stops,class,depature time,arrival time,Price,Date,Season
Iberia,ROM,CMN,580,1,business,Morning,Night,4135.95,2024-03-17,Spring
Transavia,ROM,CMN,590,1,economy,Early Morning,Afternoon,2443.35,2024-06-01,Summer
Lufthansa,ROM,CMN,570,2,economy,Afternoon,Late Night,2156.7,2024-09-03,Autumn
Egypt Air,IST,ROM,640,1,business,Late Night,Afternoon,5561.01,2024-02-10,Winter
TAROM,IST,PAR,350,1,business,Morning,Afternoon,8097.18,2024-04-18,Spring
Lufthansa,IST,CMN,505,1,economy,Evening,Late Night,3194.1,2024-07-04,Summer
Air France,ROM,CMN,525,1,economy,Afternoon,Night,1719.9,2024-01-12,Winter
Vueling,PAR,ROM,120,0,economy,Afternoon,Afternoon,562.38,2024-09-03,Autumn
easyJet,ROM,PAR,125,0,economy,Afternoon,Evening,466.83,2024-06-01,Summer
Lufthansa,IST,CMN,505,1,business,Evening,Late Night,5733.0,2024-07-04,Summer
Lufthansa,PAR,IST,360,1,business,Early Morning,Afternoon,6407.31,2024-06-01,Summer
Transavia France,IST,CMN,740,1,economy,Morning,Evening,4922.19,2024-09-03,Autumn
Wizz Air,ROM,CMN,510,1,economy,Early Morning,Afternoon,2377.83,2024-01-12,Winter
British Airways,IST,PAR,470,1,economy,Afternoon,Night,1446.9,2024-11-05,Autumn
Lufthansa,IST,PAR,360,1,business,Evening,Night,8244.6,2024-06-01,Summer
Tunisair,CMN,ROM,570,1,business,Late Night,Afternoon,6388.2,2024-06-01,Summer
Vueling,ROM,PAR,135,0,economy,Early Morning,Morning,537.81,2023-12-09,Winter
Royal Air Maroc,PAR,CMN,185,0,business,Evening,Evening,7772.31,2024-05-29,Spring
Vueling,ROM,PAR,130,0,economy,Evening,Night,529.62,2024-02-10,Winter
Egypt Air,IST,CMN,1195,1,business,Evening,Afternoon,14780.22,2024-10-19,Autumn
Transavia France,ROM,PAR,135,0,economy,Evening,Night,1438.71,2024-08-16,Summer
Pegasus Airlines,ROM,IST,150,0,economy,Afternoon,Evening,1526.07,2024-08-16,Summer
Lufthansa,ROM,CMN,745,2,business,Afternoon,Late Night,7862.4,2024-06-01,Summer
TAP Portugal,CMN,ROM,385,1,economy,Afternoon,Evening,2293.2,2023-12-09,Winter
Egypt Air,IST,CMN,715,1,business,Afternoon,Night,8009.82,2024-02-10,Winter
Air France,CMN,ROM,475,1,economy,Morning,Evening,4040.4,2024-10-19,Autumn
Royal Air Maroc,CMN,PAR,175,0,business,Afternoon,Evening,6516.51,2024-06-01,Summer
Egypt Air,ROM,CMN,1385,1,business,Afternoon,Morning,11870.039999999999,2024-11-05,Autumn
Lufthansa,CMN,ROM,620,1,business,Late Night,Afternoon,5978.7,2024-07-04,Summer
Air Serbia,IST,PAR,305,1,business,Afternoon,Evening,2809.17,2024-03-17,Spring
Iberia,ROM,CMN,1005,1,business,Night,Afternoon,4171.44,2024-04-18,Spring
Air Serbia,IST,PAR,320,1,business,Early Morning,Morning,3043.95,2024-07-04,Summer
Air Algerie,PAR,IST,765,1,business,Afternoon,Late Night,7054.32,2024-10-19,Autumn
SAUDIA,CMN,IST,995,1,economy,Evening,Afternoon,4952.22,2024-04-18,Spring
Air France,ROM,PAR,130,0,business,Night,Night,2538.9,2024-06-01,Summer
ITA Airways,ROM,PAR,205,1,economy,Early Morning,Morning,1250.34,2024-01-12,Winter
Lufthansa,PAR,CMN,335,1,economy,Evening,Late Night,1774.5,2024-08-16,Summer
Egypt Air,IST,CMN,1135,1,business,Early Morning,Night,9868.95,2024-07-04,Summer
Royal Air Maroc,CMN,ROM,520,1,economy,Morning,Afternoon,2508.87,2024-02-10,Winter
Royal Air Maroc,CMN,PAR,170,0,economy,Afternoon,Evening,5312.58,2024-09-03,Autumn
Lufthansa,CMN,ROM,425,1,business,Late Night,Morning,10264.8,2024-08-16,Summer
British Airways,IST,CMN,700,2,economy,Morning,Evening,3030.3,2024-01-12,Winter
Air France,PAR,ROM,120,0,business,Morning,Morning,2749.11,2024-05-29,Spring
AnadoluJet,PAR,IST,210,0,economy,Evening,Night,2265.9,2024-03-17,Spring
Royal Air Maroc,IST,CMN,300,0,economy,Afternoon,Afternoon,5615.61,2024-05-29,Spring
Pegasus Airlines,IST,ROM,160,0,economy,Afternoon,Afternoon,1154.79,2024-07-04,Summer
Royal Air Maroc,PAR,CMN,185,0,economy,Morning,Morning,2132.13,2024-05-29,Spring
Turkish Airlines,PAR,IST,210,0,business,Evening,Late Night,8681.4,2024-11-05,Autumn
Iberia,PAR,CMN,335,1,business,Afternoon,Evening,4365.2699999999995,2024-05-29,Spring
Royal Air Maroc,PAR,CMN,185,0,economy,Evening,Night,3120.39,2023-12-09,Winter
Iberia,CMN,ROM,625,1,economy,Afternoon,Late Night,2593.5,2024-07-04,Summer
Lufthansa,ROM,CMN,570,2,economy,Afternoon,Late Night,2727.27,2024-04-18,Spring
Turkish Airlines,IST,PAR,225,0,business,Afternoon,Evening,10297.56,2024-02-10,Winter
Air Serbia,IST,ROM,595,1,business,Early Morning,Afternoon,2350.53,2024-08-16,Summer
ITA Airways,PAR,ROM,255,1,economy,Afternoon,Night,1594.32,2024-08-16,Summer
TAP Portugal,CMN,ROM,1130,1,business,Evening,Afternoon,3931.2,2024-08-16,Summer
Air France,ROM,PAR,130,0,business,Night,Night,2538.9,2024-07-04,Summer
AnadoluJet,IST,ROM,155,0,economy,Morning,Morning,1370.46,2024-10-19,Autumn
Air France,CMN,ROM,465,1,business,Morning,Afternoon,12448.8,2024-09-03,Autumn
Air France,PAR,ROM,125,0,business,Afternoon,Afternoon,4152.33,2024-05-29,Spring
Turkish Airlines,IST,ROM,155,0,economy,Evening,Evening,3270.54,2024-06-01,Summer
ITA Airways,ROM,PAR,130,0,economy,Morning,Morning,906.36,2024-10-19,Autumn
Aegean Airlines,ROM,IST,320,1,business,Morning,Evening,8580.39,2023-12-09,Winter
Royal Air Maroc,PAR,CMN,190,0,economy,Evening,Night,1703.52,2024-06-01,Summer
Pegasus Airlines,PAR,IST,205,0,economy,Evening,Night,1550.64,2024-09-03,Autumn
Transavia France,PAR,IST,225,0,economy,Afternoon,Evening,2538.9,2024-10-19,Autumn
Lufthansa,PAR,CMN,820,1,economy,Morning,Late Night,3155.88,2024-10-19,Autumn
Royal Air Maroc,CMN,PAR,115,0,economy,Afternoon,Afternoon,1400.49,2024-03-17,Spring
British Airways,PAR,CMN,610,2,business,Morning,Evening,9145.5,2024-10-19,Autumn
Egypt Air,IST,CMN,705,1,business,Late Night,Afternoon,7226.31,2024-03-17,Spring
Air Serbia,IST,PAR,320,1,business,Afternoon,Night,2800.98,2024-09-03,Autumn
Royal Air Maroc,PAR,CMN,190,0,business,Evening,Night,6947.85,2024-01-12,Winter
ITA Airways,ROM,PAR,130,0,economy,Afternoon,Evening,813.54,2024-01-12,Winter
Tunisair,CMN,IST,445,1,economy,Late Night,Morning,6142.5,2024-08-16,Summer
Egypt Air,CMN,IST,615,1,business,Afternoon,Late Night,8291.01,2024-03-17,Spring
ITA Airways,PAR,ROM,210,1,business,Morning,Afternoon,4908.54,2024-05-29,Spring
Iberia,PAR,ROM,330,1,business,Afternoon,Evening,5814.9,2023-12-09,Winter
Lufthansa,CMN,ROM,425,1,economy,Late Night,Morning,4504.5,2024-04-18,Spring
Lufthansa,PAR,IST,350,1,business,Afternoon,Night,4594.59,2024-05-29,Spring
Air France,PAR,CMN,185,0,economy,Afternoon,Evening,1564.29,2024-05-29,Spring
TAP Portugal,PAR,CMN,895,1,business,Night,Morning,4785.69,2023-12-09,Winter
Air Serbia,ROM,IST,285,1,economy,Afternoon,Night,1012.83,2024-05-29,Spring
Turkish Airlines,IST,PAR,220,0,business,Morning,Afternoon,10537.8,2024-11-05,Autumn
ITA Airways,IST,ROM,160,0,economy,Morning,Morning,1547.91,2024-01-12,Winter
ITA Airways,IST,ROM,155,0,economy,Evening,Evening,1482.39,2023-12-09,Winter
Pegasus Airlines,PAR,IST,205,0,economy,Evening,Night,1542.45,2024-05-29,Spring
ITA Airways,ROM,PAR,135,0,business,Morning,Afternoon,4362.54,2023-12-09,Winter
easyJet,PAR,ROM,120,0,economy,Afternoon,Evening,619.71,2024-02-10,Winter
Iberia,PAR,ROM,125,0,economy,Afternoon,Evening,1769.04,2024-08-16,Summer
Iberia,ROM,CMN,395,1,economy,Early Morning,Afternoon,1665.3,2024-01-12,Winter
Turkish Airlines,ROM,IST,160,0,economy,Morning,Morning,1992.9,2024-09-03,Autumn
Turkish Airlines,PAR,IST,215,0,economy,Afternoon,Night,1801.8,2024-11-05,Autumn
British Airways,IST,PAR,420,1,business,Afternoon,Evening,4422.6,2024-03-17,Spring
easyJet,PAR,ROM,120,0,economy,Morning,Morning,761.67,2024-02-10,Winter
Iberia,CMN,ROM,505,1,business,Morning,Evening,4310.67,2024-03-17,Spring
Turkish Airlines,IST,PAR,230,0,business,Afternoon,Afternoon,10294.83,2024-02-10,Winter
Air France,PAR,CMN,190,0,economy,Morning,Morning,1225.77,2024-11-05,Autumn
Pegasus Airlines,IST,ROM,515,1,economy,Morning,Evening,1214.85,2023-12-09,Winter
Aegean Airlines,ROM,IST,270,1,economy,Morning,Afternoon,2484.3,2024-06-01,Summer
TAP Portugal,CMN,PAR,300,1,economy,Evening,Night,1829.1,2024-08-16,Summer
Turkish Airlines,ROM,IST,155,0,business,Night,Night,10674.3,2024-05-29,Spring
Lufthansa,PAR,IST,555,1,business,Morning,Night,5121.48,2024-02-10,Winter
