Airline,Source,Destination,Duration,stops,class,depature time,arrival time,Price,Date
Transavia France,CMN,PAR,3h 15m,direct,economy,19:15,22:30,AED 525,2023-12-04
TAP Portugal,CMN,PAR,9h 20m,1 stop,economy,12:20,21:40,AED 324,2023-12-04
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,08:10,11:05,AED 592,2023-12-04
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,18:30,21:25,AED 605,2023-12-04
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,14:10,17:05,AED 659,2023-12-04
Royal Air Maroc,CMN,PAR,3h 00m,direct,economy,13:25,16:25,AED 678,2023-12-04
Royal Air Maroc,CMN,PAR,2h 50m,direct,economy,12:20,15:10,AED 939,2023-12-04
Air France,CMN,PAR,3h 15m,direct,economy,19:15,22:30,"AED 1,009",2023-12-04
Air France,CMN,PAR,3h 15m,direct,economy,08:10,11:25,"AED 1,067",2023-12-04
TAP Portugal,CMN,PAR,10h 40m,1 stop,economy,12:20,23:00,AED 387,2023-12-04
Air France,CMN,PAR,3h 15m,direct,economy,16:35,19:50,"AED 1,128",2023-12-04
Air France,CMN,PAR,3h 10m,direct,economy,11:20,14:30,"AED 1,382",2023-12-04
Air Arabia Maroc,CMN,PAR,9h 00m,2 stops,economy,07:00,16:00,AED 856,2023-12-04
Iberia,CMN,PAR,5h 05m,1 stop,economy,13:35,18:40,AED 800,2023-12-04
TAP Portugal,CMN,PAR,7h 25m,1 stop,economy,12:20,19:45,AED 638,2023-12-04
TAP Portugal,CMN,PAR,7h 55m,2 stops,economy,12:20,20:15,AED 590,2023-12-04
Iberia,CMN,PAR,6h 35m,1 stop,economy,13:35,20:10,AED 800,2023-12-04
Royal Air Maroc,CMN,PAR,6h 00m,1 stop,economy,17:05,23:05,AED 796,2023-12-04
Air Arabia Maroc,CMN,PAR,7h 55m,1 stop,economy,07:00,14:55,AED 631,2023-12-04
Royal Air Maroc,CMN,PAR,6h 30m,1 stop,economy,11:05,17:35,AED 755,2023-12-04
Royal Air Maroc,CMN,PAR,10h 45m,1 stop,economy,11:00,21:45,AED 574,2023-12-04
Air Arabia Maroc,CMN,PAR,9h 50m,2 stops,economy,07:00,16:50,AED 580,2023-12-04
Royal Air Maroc,CMN,PAR,7h 25m,1 stop,economy,07:50,15:15,AED 738,2023-12-04
Royal Air Maroc,CMN,PAR,6h 45m,1 stop,economy,15:25,22:10,AED 775,2023-12-04
Iberia,CMN,PAR,6h 10m,1 stop,economy,16:05,22:15,"AED 1,196",2023-12-04
Tunisair,CMN,PAR,8h 10m,1 stop,economy,02:35,10:45,AED 903,2023-12-04
TAP Portugal,CMN,PAR,8h 20m,1 stop,economy,12:20,20:40,AED 782,2023-12-04
Iberia,CMN,PAR,8h 40m,1 stop,economy,13:35,22:15,AED 845,2023-12-04
Air Arabia Maroc,CMN,PAR,10h 10m,2 stops,economy,07:00,17:10,AED 660,2023-12-04
Lufthansa,CMN,PAR,7h 05m,1 stop,economy,02:25,09:30,"AED 1,238",2023-12-04
Royal Air Maroc,CMN,PAR,5h 35m,1 stop,economy,15:10,20:45,"AED 1,320",2023-12-04
Iberia,CMN,PAR,6h 45m,1 stop,economy,15:25,22:10,"AED 1,015",2023-12-04
